CommonName,eBird,ScientificName,ExtraName,ListDOCBirds
Southern Brown Kiwi,sobkiw2,Apteryx australis,Brown Kiwi,Kiwi (Tokoeka Stewart Is)
South Island Pied Oystercatcher,soioys1,Haematopus finschi ,Oystercatcher,Oystercatcher (SI Pied)
Rock Wren,soiwre1,Xenicus gilviventris,Wren,Wren (Rock)
Song Thrush,sonthr1,Turdus philomelos,Thrush,Thrush (Song)
Spotted Crake,spocra1,Porzana porzana ,Crake,Crake (Marsh)
Spotless Crake,spocra2,Zapornia tabuensis,Crake,Crake (Spotless)
Spotted Shag,sposha1,Phalacrocorax punctatus,Shag,Shag (Spotted)
Spy Bird,spybird,vitriolix,Spy Bird,Spy Bird
Stitchbird ,stitch1,Notiomystis cincta,Stichbird,Stitchbird
Sulphur-crested Cockatoo,succoc,Cacatua galerita,Cockatoo,Cockatoo (Sulphur-crested)
Australasian Harrier,swahar1,Circus approximans,Harrier,Harrier (Australasian)
Takahe,takahe3,Porphyrio hochstetteri,Takahe,Takahe
Tomtit,tomtit1,Petroica macrocephala,Tomtit,Tomtit (spp)
Tui,tui1,Prosthemadera novaeseelandiae,Tui,Tui (spp)
Variable Oystercatcher,varoys1,Haematopus unicolor,Oystercatcher,Oystercatcher (Variable)
Weka,weka1,Gallirallus australis,Weka,Weka (spp)
Welcome Swallow,welswa1,Hirundo neoxena,Swallow,Swallow (Welcome)
Tree Weta,weta,Hemideina sp.,Weta,Tree Weta
White-faced Heron,whfher1,Egretta novaehollandiae,Heron,Heron (White-faced)
White-fronted Tern,whfter1,Sterna striata,Tern,Tern (White-fronted)
Whitehead,whiteh1,Mohoua albicilla,Whitehead,Whitehead
Turkey,wiltur,Meleagris gallopavo,Turkey,Turkey
Wrybill,wrybil1,Anarhynchus frontalis,Wrybil,Wrybill
Grey or Mallard Duck,x00458,Anas platyrhynchos x superciliosa,Duck,Duck (Grey or Mallard)
Yellow-eyed Penguin,yeepen1,Megadyptes antipodes,Penguin,Penguin (Yellow-eyed)
Yellow-crowned Parakeet,yefpar3,Cyanoramphus auriceps,Parakeet,Parakeet (Yellow-crowned)
Yellowhammer,yellow2,Emberiza citrinella,Yellowhammer,Yellowhammer
Mohua,yellow3,Mohoua ochrocephala,Mohua,Mohua
